Data,Wartość dla NN (L) Europejski Spółek Dywidendowych (A),Waluta
2011-06-16,108.41,PLN
2011-06-17,108.56,PLN
2011-06-20,106.96,PLN
2011-06-21,108.24,PLN
2011-06-22,107.91,PLN
2011-06-24,105.99,PLN
2011-06-27,105.97,PLN
2011-06-28,106.33,PLN
2011-06-29,108.02,PLN
2011-06-30,109.06,PLN
2011-07-01,109.65,PLN
2011-07-04,109.90,PLN
2011-07-05,109.57,PLN
2011-07-06,109.00,PLN
2011-07-07,109.42,PLN
2011-07-08,108.60,PLN
2011-07-11,107.14,PLN
2011-07-12,106.07,PLN
2011-07-13,106.49,PLN
2011-07-14,105.41,PLN
2011-07-15,105.21,PLN
2011-07-18,103.94,PLN
2011-07-19,104.53,PLN
2011-07-20,105.88,PLN
2011-07-21,106.80,PLN
2011-07-22,107.72,PLN
2011-07-25,107.26,PLN
2011-07-26,106.93,PLN
2011-07-27,106.01,PLN
2011-07-28,106.40,PLN
2011-07-29,105.81,PLN
2011-08-01,104.41,PLN
2011-08-02,103.11,PLN
2011-08-03,101.50,PLN
2011-08-04,98.81,PLN
2011-08-05,96.93,PLN
2011-08-08,93.33,PLN
2011-08-09,93.80,PLN
2011-08-10,90.22,PLN
2011-08-11,92.38,PLN
2011-08-12,95.70,PLN
2011-08-16,95.58,PLN
2011-08-17,96.03,PLN
2011-08-18,92.15,PLN
2011-08-19,91.06,PLN
2011-08-22,91.88,PLN
2011-08-23,92.82,PLN
2011-08-24,93.70,PLN
2011-08-25,92.66,PLN
2011-08-26,91.87,PLN
2011-08-29,93.04,PLN
2011-08-30,93.58,PLN
2011-08-31,96.44,PLN
2011-09-01,96.91,PLN
2011-09-02,94.95,PLN
2011-09-05,91.42,PLN
2011-09-06,90.81,PLN
2011-09-07,94.05,PLN
2011-09-08,94.69,PLN
2011-09-09,92.60,PLN
2011-09-12,90.16,PLN
2011-09-13,91.13,PLN
2011-09-14,92.53,PLN
2011-09-15,94.25,PLN
2011-09-16,94.61,PLN
2011-09-19,92.64,PLN
2011-09-20,94.02,PLN
2011-09-21,92.52,PLN
2011-09-22,88.42,PLN
2011-09-23,89.40,PLN
2011-09-26,91.30,PLN
2011-09-27,94.95,PLN
2011-09-28,94.18,PLN
2011-09-29,94.90,PLN
2011-09-30,94.06,PLN
2011-10-03,93.05,PLN
2011-10-04,90.62,PLN
2011-10-05,92.98,PLN
2011-10-06,95.21,PLN
2011-10-07,95.75,PLN
2011-10-10,97.27,PLN
2011-10-11,97.01,PLN
2011-10-12,98.81,PLN
2011-10-13,97.63,PLN
2011-10-14,98.41,PLN
2011-10-17,97.61,PLN
2011-10-18,97.26,PLN
2011-10-19,97.70,PLN
2011-10-20,96.49,PLN
2011-10-21,98.83,PLN
2011-10-24,100.50,PLN
2011-10-25,99.53,PLN
2011-10-26,99.97,PLN
2011-10-27,103.05,PLN
2011-10-28,102.81,PLN
2011-10-31,101.08,PLN
2011-11-02,98.65,PLN
2011-11-03,100.81,PLN
2011-11-04,99.92,PLN
2011-11-07,99.56,PLN
2011-11-08,100.01,PLN
2011-11-09,98.08,PLN
2011-11-10,97.71,PLN
2011-11-14,98.76,PLN
2011-11-15,98.13,PLN
2011-11-16,98.03,PLN
2011-11-17,96.89,PLN
2011-11-18,96.36,PLN
2011-11-21,93.64,PLN
2011-11-22,92.96,PLN
2011-11-23,91.96,PLN
2011-11-24,91.70,PLN
2011-11-25,92.28,PLN
2011-11-28,95.72,PLN
2011-11-29,96.47,PLN
