Data,Wartość dla NN Perspektywa 2025 (A),Waluta
2014-01-30,111.46,PLN
2014-01-31,111.41,PLN
2014-02-03,111.58,PLN
2014-02-04,111.54,PLN
2014-02-05,111.82,PLN
2014-02-06,112.62,PLN
2014-02-07,112.78,PLN
2014-02-10,112.75,PLN
2014-02-11,113.05,PLN
2014-02-12,113.45,PLN
2014-02-13,113.35,PLN
2014-02-14,113.60,PLN
2014-02-17,113.84,PLN
2014-02-18,113.74,PLN
2014-02-19,113.69,PLN
2014-02-20,113.43,PLN
2014-02-21,113.87,PLN
2014-02-24,114.29,PLN
2014-02-25,114.07,PLN
2014-02-26,113.52,PLN
2014-02-27,113.64,PLN
2014-02-28,114.19,PLN
2014-03-03,112.47,PLN
2014-03-04,113.38,PLN
2014-03-05,113.64,PLN
2014-03-06,113.98,PLN
2014-03-07,113.47,PLN
2014-03-10,112.99,PLN
2014-03-11,113.04,PLN
2014-03-12,112.54,PLN
2014-03-13,112.26,PLN
2014-03-14,111.90,PLN
2014-03-17,112.72,PLN
2014-03-18,112.89,PLN
2014-03-19,112.70,PLN
2014-03-20,112.54,PLN
2014-03-21,112.60,PLN
2014-03-24,112.64,PLN
2014-03-25,113.09,PLN
2014-03-26,113.60,PLN
2014-03-27,113.73,PLN
2014-03-28,113.97,PLN
2014-03-31,114.43,PLN
2014-04-01,114.66,PLN
2014-04-02,114.83,PLN
2014-04-03,114.65,PLN
2014-04-04,115.00,PLN
2014-04-07,114.84,PLN
2014-04-08,115.05,PLN
2014-04-09,114.97,PLN
2014-04-10,115.14,PLN
2014-04-11,114.89,PLN
2014-04-14,114.62,PLN
2014-04-15,114.19,PLN
2014-04-16,114.09,PLN
2014-04-17,114.49,PLN
2014-04-22,114.70,PLN
2014-04-23,114.64,PLN
2014-04-24,114.57,PLN
2014-04-25,114.36,PLN
2014-04-28,114.46,PLN
2014-04-29,114.69,PLN
2014-04-30,114.94,PLN
2014-05-02,115.02,PLN
2014-05-05,114.82,PLN
2014-05-06,114.66,PLN
2014-05-07,114.61,PLN
2014-05-08,114.96,PLN
2014-05-09,114.80,PLN
2014-05-12,115.05,PLN
2014-05-13,115.28,PLN
2014-05-14,115.61,PLN
2014-05-15,115.41,PLN
2014-05-16,115.31,PLN
2014-05-19,115.47,PLN
2014-05-20,115.42,PLN
2014-05-21,115.61,PLN
2014-05-22,116.29,PLN
2014-05-23,116.46,PLN
2014-05-26,116.64,PLN
2014-05-27,116.55,PLN
2014-05-28,116.57,PLN
2014-05-29,116.92,PLN
2014-05-30,116.64,PLN
2014-06-02,116.74,PLN
2014-06-03,116.77,PLN
2014-06-04,116.78,PLN
2014-06-05,117.06,PLN
2014-06-06,117.69,PLN
2014-06-09,117.65,PLN
2014-06-10,117.72,PLN
2014-06-11,117.50,PLN
2014-06-12,117.49,PLN
2014-06-13,117.48,PLN
2014-06-16,117.19,PLN
2014-06-17,117.30,PLN
2014-06-18,117.47,PLN
2014-06-20,117.44,PLN
2014-06-23,117.64,PLN
2014-06-24,117.84,PLN
2014-06-25,117.50,PLN
2014-06-26,117.41,PLN
2014-06-27,117.45,PLN
2014-06-30,117.55,PLN
2014-07-01,117.44,PLN
2014-07-02,117.09,PLN
2014-07-03,116.96,PLN
2014-07-04,117.09,PLN
2014-07-07,117.31,PLN
2014-07-08,117.31,PLN
2014-07-09,117.13,PLN
2014-07-10,116.95,PLN
2014-07-11,117.21,PLN
2014-07-14,117.45,PLN
2014-07-15,117.44,PLN
2014-07-16,117.59,PLN
2014-07-17,117.46,PLN
2014-07-18,117.43,PLN
2014-07-21,117.37,PLN
2014-07-22,117.76,PLN
2014-07-23,118.10,PLN
2014-07-24,118.12,PLN
2014-07-25,118.21,PLN
2014-07-28,118.18,PLN
2014-07-29,118.10,PLN
2014-07-30,117.70,PLN
2014-07-31,117.11,PLN
2014-08-01,117.10,PLN
2014-08-04,117.43,PLN
2014-08-05,117.07,PLN
2014-08-06,116.73,PLN
2014-08-07,116.53,PLN
2014-08-08,116.34,PLN
2014-08-11,116.94,PLN
2014-08-12,116.97,PLN
2014-08-13,117.45,PLN
2014-08-14,117.80,PLN
2014-08-18,118.31,PLN
2014-08-19,118.54,PLN
2014-08-20,118.57,PLN
2014-08-21,118.69,PLN
2014-08-22,118.59,PLN
2014-08-25,118.83,PLN
2014-08-26,119.17,PLN
2014-08-27,119.31,PLN
2014-08-28,118.73,PLN
2014-08-29,118.84,PLN
2014-09-01,119.12,PLN
2014-09-02,119.19,PLN
2014-09-03,119.95,PLN
2014-09-04,120.29,PLN
2014-09-05,120.42,PLN
2014-09-08,120.66,PLN
2014-09-09,120.15,PLN
2014-09-10,120.04,PLN
2014-09-11,119.85,PLN
2014-09-12,119.57,PLN
2014-09-15,119.69,PLN
2014-09-16,119.82,PLN
2014-09-17,120.08,PLN
2014-09-18,119.88,PLN
2014-09-19,120.20,PLN
2014-09-22,120.06,PLN
2014-09-23,119.71,PLN
2014-09-24,119.77,PLN
2014-09-25,119.81,PLN
2014-09-26,119.57,PLN
2014-09-29,119.31,PLN
2014-09-30,119.39,PLN
2014-10-01,119.05,PLN
2014-10-02,118.69,PLN
2014-10-03,118.81,PLN
2014-10-06,119.13,PLN
2014-10-07,119.01,PLN
2014-10-08,118.70,PLN
2014-10-09,119.17,PLN
2014-10-10,118.52,PLN
2014-10-13,118.65,PLN
2014-10-14,118.87,PLN
2014-10-15,118.75,PLN
2014-10-16,118.07,PLN
2014-10-17,118.66,PLN
2014-10-20,118.84,PLN
2014-10-21,119.31,PLN
2014-10-22,119.57,PLN
2014-10-23,119.79,PLN
2014-10-24,119.77,PLN
2014-10-27,119.77,PLN
2014-10-28,120.11,PLN
2014-10-29,120.19,PLN
2014-10-30,120.12,PLN
2014-10-31,120.66,PLN
2014-11-03,120.56,PLN
2014-11-04,120.61,PLN
2014-11-05,120.21,PLN
2014-11-06,119.94,PLN
2014-11-07,119.86,PLN
2014-11-10,120.04,PLN
2014-11-12,120.23,PLN
2014-11-13,120.35,PLN
2014-11-14,120.31,PLN
2014-11-17,120.17,PLN
2014-11-18,120.34,PLN
2014-11-19,120.18,PLN
2014-11-20,120.19,PLN
2014-11-21,120.83,PLN
2014-11-24,120.78,PLN
2014-11-25,120.77,PLN
2014-11-26,121.13,PLN
2014-11-27,121.19,PLN
2014-11-28,121.28,PLN
2014-12-01,120.92,PLN
2014-12-02,120.89,PLN
2014-12-03,120.76,PLN
2014-12-04,120.66,PLN
2014-12-05,120.59,PLN
2014-12-08,120.38,PLN
2014-12-09,119.92,PLN
