Data,Wartość dla NN (L) Spółek Dywidendowych USA (A),Waluta
2011-07-22,121.63,PLN
2011-07-25,120.90,PLN
2011-07-26,120.85,PLN
2011-07-27,119.23,PLN
2011-07-28,118.96,PLN
2011-07-29,118.05,PLN
2011-08-01,117.58,PLN
2011-08-02,115.12,PLN
2011-08-03,115.42,PLN
2011-08-04,111.09,PLN
2011-08-05,111.59,PLN
2011-08-08,105.14,PLN
2011-08-09,108.73,PLN
2011-08-10,104.64,PLN
2011-08-11,108.49,PLN
2011-08-12,109.07,PLN
2011-08-16,110.45,PLN
2011-08-17,110.73,PLN
2011-08-18,107.36,PLN
2011-08-19,106.22,PLN
2011-08-22,106.14,PLN
2011-08-23,108.87,PLN
2011-08-24,110.13,PLN
2011-08-25,108.42,PLN
2011-08-26,109.55,PLN
2011-08-29,112.55,PLN
2011-08-30,113.21,PLN
2011-08-31,113.68,PLN
2011-09-01,112.54,PLN
2011-09-02,110.15,PLN
2011-09-05,110.13,PLN
2011-09-06,109.26,PLN
2011-09-07,112.17,PLN
2011-09-08,111.13,PLN
2011-09-09,108.72,PLN
2011-09-12,108.83,PLN
2011-09-13,109.82,PLN
2011-09-14,110.90,PLN
2011-09-15,112.65,PLN
2011-09-16,112.54,PLN
2011-09-19,111.04,PLN
2011-09-20,110.77,PLN
2011-09-21,108.27,PLN
2011-09-22,105.38,PLN
2011-09-23,105.76,PLN
2011-09-26,107.53,PLN
2011-09-27,109.12,PLN
2011-09-28,106.83,PLN
2011-09-29,107.82,PLN
2011-09-30,105.97,PLN
2011-10-03,103.27,PLN
2011-10-04,105.52,PLN
2011-10-05,106.81,PLN
2011-10-06,108.64,PLN
2011-10-07,107.68,PLN
2011-10-10,110.51,PLN
2011-10-11,110.77,PLN
2011-10-12,111.81,PLN
2011-10-13,111.80,PLN
2011-10-14,112.89,PLN
2011-10-17,110.77,PLN
2011-10-18,112.83,PLN
2011-10-19,111.81,PLN
2011-10-20,112.68,PLN
2011-10-21,114.35,PLN
2011-10-24,115.83,PLN
2011-10-25,113.35,PLN
2011-10-26,114.55,PLN
2011-10-27,117.91,PLN
2011-10-28,117.88,PLN
2011-10-31,115.37,PLN
2011-11-02,113.12,PLN
2011-11-03,115.46,PLN
2011-11-04,114.81,PLN
2011-11-07,115.57,PLN
2011-11-08,116.63,PLN
2011-11-09,113.14,PLN
2011-11-10,114.08,PLN
2011-11-14,114.86,PLN
2011-11-15,115.43,PLN
2011-11-16,114.17,PLN
2011-11-17,112.78,PLN
2011-11-18,112.84,PLN
2011-11-21,110.79,PLN
2011-11-22,109.52,PLN
2011-11-23,107.35,PLN
2011-11-24,107.35,PLN
2011-11-25,106.66,PLN
2011-11-28,109.61,PLN
2011-11-29,109.58,PLN
2011-11-30,113.38,PLN
2011-12-01,113.16,PLN
2011-12-02,112.73,PLN
2011-12-05,114.13,PLN
2011-12-06,114.72,PLN
2011-12-07,114.82,PLN
2011-12-08,112.47,PLN
2011-12-09,113.88,PLN
2011-12-12,112.72,PLN
2011-12-13,111.65,PLN
2011-12-14,110.84,PLN
2011-12-15,111.65,PLN
2011-12-16,112.21,PLN
2011-12-19,110.98,PLN
2011-12-20,113.46,PLN
2011-12-21,114.03,PLN
2011-12-22,114.98,PLN
2011-12-23,115.97,PLN
2011-12-27,115.80,PLN
2011-12-28,114.43,PLN
2011-12-29,115.32,PLN
2011-12-30,115.41,PLN
2012-01-02,115.39,PLN
2012-01-03,117.18,PLN
2012-01-04,117.09,PLN
2012-01-05,117.04,PLN
2012-01-09,117.31,PLN
2012-01-10,118.46,PLN
2012-01-11,118.41,PLN
2012-01-12,118.43,PLN
2012-01-13,117.35,PLN
2012-01-16,117.34,PLN
2012-01-17,117.86,PLN
2012-01-18,118.85,PLN
2012-01-19,119.82,PLN
2012-01-20,119.85,PLN
2012-01-23,120.41,PLN
2012-01-24,120.28,PLN
2012-01-25,120.87,PLN
2012-01-26,120.71,PLN
2012-01-27,120.68,PLN
2012-01-30,120.06,PLN
2012-01-31,119.80,PLN
2012-02-01,121.40,PLN
2012-02-02,121.65,PLN
2012-02-03,123.08,PLN
2012-02-06,123.21,PLN
2012-02-07,123.00,PLN
2012-02-08,123.33,PLN
2012-02-09,123.54,PLN
2012-02-10,122.17,PLN
2012-02-13,122.36,PLN
2012-02-14,122.07,PLN
2012-02-15,122.26,PLN
2012-02-16,123.79,PLN
2012-02-17,124.12,PLN
2012-02-20,124.10,PLN
2012-02-21,123.88,PLN
2012-02-22,123.35,PLN
2012-02-23,123.84,PLN
2012-02-24,123.74,PLN
2012-02-27,123.75,PLN
2012-02-28,123.69,PLN
2012-02-29,122.96,PLN
2012-03-01,123.12,PLN
2012-03-02,122.70,PLN
2012-03-05,122.17,PLN
2012-03-06,120.37,PLN
2012-03-07,120.93,PLN
2012-03-08,122.07,PLN
2012-03-09,122.67,PLN
2012-03-12,122.69,PLN
2012-03-13,124.23,PLN
2012-03-14,123.60,PLN
2012-03-15,124.45,PLN
2012-03-16,125.01,PLN
2012-03-19,125.31,PLN
2012-03-20,124.62,PLN
2012-03-21,124.46,PLN
2012-03-22,123.63,PLN
2012-03-23,124.27,PLN
2012-03-26,125.48,PLN
