Data,Wartość dla NN Konserwatywny (A),Waluta
1999-09-21,105.01,PLN
1999-09-22,105.01,PLN
1999-09-23,104.94,PLN
1999-09-24,104.88,PLN
1999-09-27,104.98,PLN
1999-09-28,105.00,PLN
1999-09-29,105.01,PLN
1999-09-30,104.98,PLN
1999-10-01,105.00,PLN
1999-10-04,105.16,PLN
1999-10-05,105.22,PLN
1999-10-06,105.12,PLN
1999-10-07,105.13,PLN
1999-10-08,105.08,PLN
1999-10-11,105.13,PLN
1999-10-12,105.17,PLN
1999-10-13,105.14,PLN
1999-10-14,105.16,PLN
1999-10-15,105.16,PLN
1999-10-18,105.09,PLN
1999-10-19,105.13,PLN
1999-10-20,105.17,PLN
1999-10-21,105.14,PLN
1999-10-22,105.11,PLN
1999-10-25,105.16,PLN
1999-10-26,105.20,PLN
1999-10-27,105.21,PLN
1999-10-28,105.30,PLN
1999-10-29,105.34,PLN
1999-11-02,105.45,PLN
1999-11-03,105.41,PLN
1999-11-04,105.45,PLN
1999-11-05,105.45,PLN
1999-11-08,105.44,PLN
1999-11-09,105.48,PLN
1999-11-10,105.40,PLN
1999-11-15,105.47,PLN
1999-11-16,105.49,PLN
1999-11-17,105.51,PLN
1999-11-18,105.33,PLN
1999-11-19,105.45,PLN
1999-11-22,105.70,PLN
1999-11-23,105.80,PLN
1999-11-24,105.91,PLN
1999-11-25,106.01,PLN
1999-11-26,106.07,PLN
1999-11-29,106.11,PLN
1999-11-30,106.20,PLN
1999-12-01,106.28,PLN
1999-12-02,106.70,PLN
1999-12-03,106.67,PLN
1999-12-06,106.71,PLN
1999-12-07,106.58,PLN
1999-12-08,106.51,PLN
1999-12-09,106.45,PLN
1999-12-10,106.53,PLN
1999-12-13,106.52,PLN
1999-12-14,106.58,PLN
1999-12-15,106.62,PLN
1999-12-16,106.70,PLN
1999-12-17,106.79,PLN
1999-12-20,106.74,PLN
1999-12-21,106.76,PLN
1999-12-22,106.88,PLN
1999-12-23,106.96,PLN
1999-12-27,107.14,PLN
1999-12-28,107.24,PLN
1999-12-29,107.42,PLN
1999-12-31,107.48,PLN
2000-01-03,107.50,PLN
2000-01-04,107.48,PLN
2000-01-05,107.56,PLN
2000-01-06,107.56,PLN
2000-01-07,107.65,PLN
2000-01-10,107.73,PLN
2000-01-11,107.76,PLN
2000-01-12,107.74,PLN
2000-01-13,107.77,PLN
2000-01-14,107.82,PLN
2000-01-17,107.89,PLN
2000-01-18,107.93,PLN
2000-01-19,107.98,PLN
2000-01-20,108.13,PLN
2000-01-21,108.16,PLN
2000-01-24,108.17,PLN
2000-01-25,108.17,PLN
2000-01-26,108.17,PLN
2000-01-27,108.30,PLN
2000-01-28,108.36,PLN
2000-01-31,108.44,PLN
2000-02-01,108.45,PLN
2000-02-02,108.48,PLN
2000-02-03,108.54,PLN
2000-02-04,108.55,PLN
2000-02-07,108.61,PLN
2000-02-08,108.70,PLN
2000-02-09,108.66,PLN
2000-02-10,108.73,PLN
2000-02-11,108.78,PLN
2000-02-14,108.82,PLN
2000-02-15,108.84,PLN
2000-02-16,108.93,PLN
2000-02-17,108.93,PLN
2000-02-18,108.98,PLN
2000-02-21,108.98,PLN
2000-02-22,108.98,PLN
2000-02-23,109.04,PLN
2000-02-24,109.06,PLN
2000-02-25,109.08,PLN
2000-02-28,109.13,PLN
2000-02-29,109.08,PLN
2000-03-01,109.04,PLN
2000-03-02,109.26,PLN
2000-03-03,109.24,PLN
2000-03-06,109.34,PLN
2000-03-07,109.43,PLN
2000-03-08,109.43,PLN
2000-03-09,109.51,PLN
2000-03-10,109.59,PLN
2000-03-13,109.66,PLN
2000-03-14,109.74,PLN
2000-03-15,109.82,PLN
2000-03-16,109.92,PLN
2000-03-17,109.91,PLN
2000-03-20,109.99,PLN
2000-03-21,110.04,PLN
2000-03-22,110.19,PLN
2000-03-23,110.26,PLN
2000-03-24,110.32,PLN
2000-03-27,110.37,PLN
2000-03-28,110.40,PLN
2000-03-29,110.45,PLN
2000-03-30,110.53,PLN
2000-03-31,110.61,PLN
2000-04-03,110.63,PLN
2000-04-04,110.68,PLN
2000-04-05,110.69,PLN
2000-04-06,110.78,PLN
2000-04-07,110.81,PLN
2000-04-10,110.86,PLN
2000-04-11,110.93,PLN
2000-04-12,111.03,PLN
2000-04-13,111.10,PLN
2000-04-14,111.11,PLN
2000-04-17,111.20,PLN
2000-04-18,111.21,PLN
2000-04-19,111.27,PLN
2000-04-20,111.33,PLN
2000-04-25,111.51,PLN
2000-04-26,111.63,PLN
2000-04-27,111.71,PLN
2000-04-28,111.76,PLN
2000-05-04,111.96,PLN
2000-05-05,111.89,PLN
2000-05-08,111.94,PLN
2000-05-09,112.00,PLN
2000-05-10,112.11,PLN
2000-05-11,112.17,PLN
2000-05-12,112.22,PLN
2000-05-15,112.27,PLN
2000-05-16,112.38,PLN
2000-05-17,112.42,PLN
2000-05-18,112.55,PLN
2000-05-19,112.58,PLN
2000-05-22,112.62,PLN
2000-05-23,112.68,PLN
2000-05-24,112.70,PLN
2000-05-25,112.88,PLN
2000-05-26,112.90,PLN
2000-05-29,112.93,PLN
2000-05-30,113.07,PLN
2000-05-31,113.08,PLN
2000-06-01,113.27,PLN
2000-06-02,113.31,PLN
2000-06-05,113.39,PLN
2000-06-06,113.44,PLN
2000-06-07,113.47,PLN
2000-06-08,113.46,PLN
2000-06-09,113.66,PLN
2000-06-12,113.72,PLN
2000-06-13,113.79,PLN
2000-06-14,113.79,PLN
2000-06-15,113.93,PLN
2000-06-16,113.97,PLN
2000-06-19,114.03,PLN
2000-06-20,114.10,PLN
2000-06-21,114.18,PLN
2000-06-23,114.29,PLN
2000-06-26,114.41,PLN
2000-06-27,114.47,PLN
2000-06-28,114.55,PLN
2000-06-29,114.65,PLN
2000-06-30,114.72,PLN
2000-07-03,114.88,PLN
2000-07-04,114.96,PLN
2000-07-05,115.06,PLN
2000-07-06,115.11,PLN
2000-07-07,115.13,PLN
2000-07-10,115.19,PLN
2000-07-11,115.25,PLN
2000-07-12,115.33,PLN
2000-07-13,115.44,PLN
2000-07-14,115.50,PLN
2000-07-17,115.48,PLN
2000-07-18,115.61,PLN
2000-07-19,115.66,PLN
2000-07-20,115.77,PLN
2000-07-21,115.82,PLN
2000-07-24,115.83,PLN
2000-07-25,115.89,PLN
2000-07-26,115.95,PLN
2000-07-27,116.07,PLN
2000-07-28,116.14,PLN
2000-07-31,116.19,PLN
2000-08-01,116.23,PLN
2000-08-02,116.31,PLN
2000-08-03,116.43,PLN
2000-08-04,116.45,PLN
2000-08-07,116.55,PLN
2000-08-08,116.76,PLN
2000-08-09,116.82,PLN
2000-08-10,116.86,PLN
2000-08-11,116.92,PLN
2000-08-14,117.07,PLN
2000-08-16,117.16,PLN
2000-08-17,117.20,PLN
2000-08-18,117.25,PLN
2000-08-21,117.41,PLN
2000-08-22,117.45,PLN
2000-08-23,117.50,PLN
2000-08-24,117.54,PLN
2000-08-25,117.60,PLN
2000-08-28,117.75,PLN
2000-08-29,117.79,PLN
2000-08-30,117.85,PLN
2000-08-31,117.90,PLN
2000-09-01,117.96,PLN
2000-09-04,118.11,PLN
2000-09-05,118.16,PLN
2000-09-06,118.21,PLN
2000-09-07,118.26,PLN
2000-09-08,118.32,PLN
2000-09-11,118.47,PLN
2000-09-12,118.53,PLN
2000-09-13,118.57,PLN
2000-09-14,118.63,PLN
2000-09-15,118.68,PLN
2000-09-18,118.82,PLN
2000-09-19,118.87,PLN
2000-09-20,118.92,PLN
2000-09-21,118.98,PLN
2000-09-22,119.04,PLN
2000-09-25,119.18,PLN
2000-09-26,119.23,PLN
2000-09-27,119.27,PLN
2000-09-28,119.32,PLN
2000-09-29,119.36,PLN
2000-10-02,119.55,PLN
2000-10-03,119.61,PLN
2000-10-04,119.66,PLN
2000-10-05,119.72,PLN
2000-10-06,119.77,PLN
2000-10-09,119.91,PLN
2000-10-10,119.97,PLN
2000-10-11,120.01,PLN
2000-10-12,120.07,PLN
2000-10-13,120.08,PLN
2000-10-16,120.27,PLN
2000-10-17,120.23,PLN
2000-10-18,120.38,PLN
2000-10-19,120.42,PLN
2000-10-20,120.49,PLN
2000-10-23,120.64,PLN
2000-10-24,120.70,PLN
2000-10-25,120.76,PLN
2000-10-26,120.81,PLN
2000-10-27,120.87,PLN
2000-10-30,121.04,PLN
2000-10-31,121.10,PLN
2000-11-02,121.22,PLN
2000-11-03,121.30,PLN
2000-11-06,121.51,PLN
2000-11-07,121.55,PLN
2000-11-08,121.61,PLN
2000-11-09,121.67,PLN
2000-11-10,121.72,PLN
2000-11-13,121.88,PLN
2000-11-14,121.95,PLN
2000-11-15,121.99,PLN
2000-11-16,122.05,PLN
2000-11-17,122.10,PLN
2000-11-20,122.25,PLN
2000-11-21,122.31,PLN
2000-11-22,122.38,PLN
2000-11-23,122.46,PLN
2000-11-24,122.50,PLN
2000-11-27,122.65,PLN
2000-11-28,122.70,PLN
2000-11-29,122.77,PLN
2000-11-30,122.82,PLN
2000-12-01,122.89,PLN
2000-12-04,123.04,PLN
2000-12-05,123.10,PLN
2000-12-06,123.17,PLN
2000-12-07,123.23,PLN
2000-12-08,123.27,PLN
2000-12-11,123.41,PLN
2000-12-12,123.48,PLN
2000-12-13,123.58,PLN
2000-12-14,123.70,PLN
2000-12-15,123.80,PLN
2000-12-18,124.00,PLN
2000-12-19,124.09,PLN
2000-12-20,124.23,PLN
2000-12-21,124.42,PLN
2000-12-22,124.51,PLN
2000-12-27,124.78,PLN
2000-12-28,124.87,PLN
2000-12-29,124.88,PLN
2001-01-02,125.24,PLN
2001-01-03,125.31,PLN
2001-01-04,125.58,PLN
2001-01-05,125.71,PLN
2001-01-08,125.86,PLN
2001-01-09,125.81,PLN
2001-01-10,125.85,PLN
2001-01-11,125.95,PLN
2001-01-12,125.98,PLN
2001-01-15,126.13,PLN
2001-01-16,126.14,PLN
2001-01-17,126.21,PLN
2001-01-18,126.33,PLN
2001-01-19,126.41,PLN
2001-01-22,126.51,PLN
2001-01-23,126.55,PLN
2001-01-24,126.70,PLN
2001-01-25,126.84,PLN
2001-01-26,126.92,PLN
2001-01-29,127.02,PLN
2001-01-30,127.05,PLN
2001-01-31,127.10,PLN
2001-02-01,127.32,PLN
2001-02-02,127.34,PLN
2001-02-05,127.48,PLN
2001-02-06,127.68,PLN
2001-02-07,127.70,PLN
2001-02-08,127.78,PLN
2001-02-09,127.88,PLN
2001-02-12,128.07,PLN
2001-02-13,128.12,PLN
2001-02-14,128.17,PLN
2001-02-15,128.20,PLN
2001-02-16,128.26,PLN
2001-02-19,128.40,PLN
2001-02-20,128.43,PLN
2001-02-21,128.45,PLN
2001-02-22,128.53,PLN
2001-02-23,128.56,PLN
2001-02-26,128.72,PLN
2001-02-27,128.78,PLN
2001-02-28,128.88,PLN
2001-03-01,128.90,PLN
2001-03-02,129.12,PLN
2001-03-05,129.19,PLN
2001-03-06,129.26,PLN
2001-03-07,129.30,PLN
2001-03-08,129.30,PLN
2001-03-09,129.36,PLN
2001-03-12,129.46,PLN
2001-03-13,129.50,PLN
2001-03-14,129.54,PLN
2001-03-15,129.58,PLN
2001-03-16,129.64,PLN
2001-03-19,129.81,PLN
2001-03-20,129.86,PLN
2001-03-21,129.92,PLN
2001-03-22,130.00,PLN
2001-03-23,130.06,PLN
2001-03-26,130.21,PLN
2001-03-27,130.28,PLN
2001-03-28,130.39,PLN
2001-03-29,130.47,PLN
2001-03-30,130.53,PLN
2001-04-02,130.71,PLN
2001-04-03,130.78,PLN
2001-04-04,130.82,PLN
2001-04-05,130.89,PLN
2001-04-06,130.95,PLN
2001-04-09,131.08,PLN
2001-04-10,131.15,PLN
2001-04-11,131.27,PLN
2001-04-12,131.35,PLN
2001-04-17,131.59,PLN
2001-04-18,131.66,PLN
2001-04-19,131.72,PLN
2001-04-20,131.78,PLN
2001-04-23,131.92,PLN
2001-04-24,131.96,PLN
2001-04-25,132.09,PLN
2001-04-26,132.12,PLN
2001-04-27,132.17,PLN
2001-04-30,132.34,PLN
2001-05-02,132.49,PLN
2001-05-04,132.58,PLN
2001-05-07,132.74,PLN
2001-05-08,132.81,PLN
2001-05-09,132.83,PLN
2001-05-10,132.91,PLN
2001-05-11,132.93,PLN
2001-05-14,133.07,PLN
2001-05-15,133.12,PLN
2001-05-16,133.17,PLN
2001-05-17,133.22,PLN
2001-05-18,133.29,PLN
2001-05-21,133.43,PLN
2001-05-22,133.49,PLN
2001-05-23,133.54,PLN
2001-05-24,133.60,PLN
2001-05-25,133.66,PLN
2001-05-28,133.81,PLN
2001-05-29,133.87,PLN
2001-05-30,133.91,PLN
2001-05-31,133.98,PLN
2001-06-01,134.04,PLN
2001-06-04,134.20,PLN
2001-06-05,134.25,PLN
2001-06-06,134.26,PLN
2001-06-07,134.32,PLN
2001-06-08,134.39,PLN
2001-06-11,134.54,PLN
2001-06-12,134.63,PLN
2001-06-13,134.69,PLN
2001-06-15,134.81,PLN
2001-06-18,134.98,PLN
2001-06-19,135.02,PLN
2001-06-20,135.06,PLN
2001-06-21,135.12,PLN
2001-06-22,135.16,PLN
2001-06-25,135.32,PLN
2001-06-26,135.43,PLN
2001-06-27,135.51,PLN
2001-06-28,135.56,PLN
2001-06-29,135.62,PLN
2001-07-02,135.79,PLN
2001-07-03,135.84,PLN
2001-07-04,135.89,PLN
2001-07-05,135.95,PLN
2001-07-06,135.99,PLN
2001-07-09,136.12,PLN
2001-07-10,136.19,PLN
2001-07-11,136.24,PLN
2001-07-12,136.31,PLN
2001-07-13,136.36,PLN
2001-07-16,136.51,PLN
2001-07-17,136.56,PLN
2001-07-18,136.63,PLN
2001-07-19,136.68,PLN
2001-07-20,136.74,PLN
2001-07-23,136.91,PLN
2001-07-24,136.96,PLN
2001-07-25,137.01,PLN
2001-07-26,137.09,PLN
2001-07-27,137.17,PLN
2001-07-30,137.34,PLN
2001-07-31,137.39,PLN
2001-08-01,137.45,PLN
2001-08-02,137.50,PLN
2001-08-03,137.58,PLN
2001-08-06,137.74,PLN
2001-08-07,137.85,PLN
2001-08-08,137.90,PLN
2001-08-09,137.95,PLN
2001-08-10,138.01,PLN
2001-08-13,138.15,PLN
2001-08-14,138.19,PLN
2001-08-16,138.27,PLN
2001-08-17,138.30,PLN
2001-08-20,138.47,PLN
2001-08-21,138.54,PLN
2001-08-22,138.61,PLN
2001-08-23,138.69,PLN
2001-08-24,138.75,PLN
2001-08-27,138.89,PLN
2001-08-28,138.95,PLN
2001-08-29,139.00,PLN
2001-08-30,139.08,PLN
2001-08-31,139.14,PLN
2001-09-03,139.29,PLN
2001-09-04,139.35,PLN
2001-09-05,139.41,PLN
2001-09-06,139.47,PLN
2001-09-07,139.52,PLN
2001-09-10,139.66,PLN
2001-09-11,139.70,PLN
2001-09-12,139.75,PLN
2001-09-13,139.80,PLN
2001-09-14,139.88,PLN
2001-09-17,140.02,PLN
2001-09-18,140.09,PLN
2001-09-19,140.18,PLN
2001-09-20,140.25,PLN
2001-09-21,140.32,PLN
2001-09-24,140.45,PLN
2001-09-25,140.49,PLN
2001-09-26,140.54,PLN
2001-09-27,140.59,PLN
2001-09-28,140.66,PLN
2001-10-01,140.81,PLN
2001-10-02,140.87,PLN
2001-10-03,140.92,PLN
2001-10-04,140.99,PLN
2001-10-05,141.04,PLN
2001-10-08,141.19,PLN
2001-10-09,141.24,PLN
2001-10-10,141.33,PLN
2001-10-11,141.42,PLN
2001-10-12,141.49,PLN
2001-10-15,141.65,PLN
2001-10-16,141.72,PLN
2001-10-17,141.76,PLN
2001-10-18,141.82,PLN
2001-10-19,141.90,PLN
2001-10-22,142.07,PLN
2001-10-23,142.13,PLN
2001-10-24,142.17,PLN
2001-10-25,142.22,PLN
2001-10-26,142.27,PLN
2001-10-29,142.50,PLN
2001-10-30,142.52,PLN
2001-10-31,142.61,PLN
2001-11-02,142.72,PLN
2001-11-05,142.84,PLN
2001-11-06,142.90,PLN
2001-11-07,142.95,PLN
2001-11-08,142.99,PLN
2001-11-09,143.05,PLN
2001-11-12,143.19,PLN
2001-11-13,143.23,PLN
2001-11-14,143.26,PLN
2001-11-15,143.32,PLN
2001-11-16,143.40,PLN
2001-11-19,143.55,PLN
2001-11-20,143.59,PLN
2001-11-21,143.69,PLN
2001-11-22,143.74,PLN
2001-11-23,143.75,PLN
2001-11-26,143.98,PLN
2001-11-27,144.08,PLN
2001-11-28,144.28,PLN
2001-11-29,144.25,PLN
2001-11-30,144.32,PLN
2001-12-03,144.48,PLN
2001-12-04,144.55,PLN
2001-12-05,144.61,PLN
2001-12-06,144.66,PLN
2001-12-07,144.68,PLN
2001-12-10,144.77,PLN
2001-12-11,144.81,PLN
2001-12-12,144.85,PLN
2001-12-13,144.87,PLN
2001-12-14,144.92,PLN
2001-12-17,145.02,PLN
2001-12-18,145.07,PLN
2001-12-19,145.13,PLN
2001-12-20,145.20,PLN
2001-12-21,145.26,PLN
2001-12-27,145.52,PLN
2001-12-28,145.54,PLN
2001-12-31,145.68,PLN
2002-01-02,145.72,PLN
2002-01-03,145.74,PLN
2002-01-04,145.80,PLN
2002-01-07,145.97,PLN
2002-01-08,146.02,PLN
2002-01-09,146.07,PLN
2002-01-10,146.10,PLN
2002-01-11,146.15,PLN
2002-01-14,146.27,PLN
2002-01-15,146.32,PLN
2002-01-16,146.37,PLN
2002-01-17,146.40,PLN
2002-01-18,146.43,PLN
2002-01-21,146.56,PLN
2002-01-22,146.60,PLN
2002-01-23,146.64,PLN
2002-01-24,146.67,PLN
2002-01-25,146.69,PLN
2002-01-28,146.82,PLN
2002-01-29,146.88,PLN
2002-01-30,146.92,PLN
2002-01-31,146.95,PLN
2002-02-01,147.00,PLN
2002-02-04,147.11,PLN
2002-02-05,147.15,PLN
2002-02-06,147.19,PLN
2002-02-07,147.23,PLN
2002-02-08,147.28,PLN
2002-02-11,147.39,PLN
2002-02-12,147.42,PLN
2002-02-13,147.47,PLN
2002-02-14,147.53,PLN
2002-02-15,147.57,PLN
2002-02-18,147.68,PLN
2002-02-19,147.72,PLN
2002-02-20,147.76,PLN
2002-02-21,147.80,PLN
2002-02-22,147.84,PLN
2002-02-25,147.95,PLN
2002-02-26,147.98,PLN
2002-02-27,148.04,PLN
2002-02-28,148.07,PLN
2002-03-01,148.12,PLN
2002-03-04,148.23,PLN
2002-03-05,148.28,PLN
2002-03-06,148.31,PLN
2002-03-07,148.34,PLN
2002-03-08,148.39,PLN
2002-03-11,148.50,PLN
2002-03-12,148.53,PLN
2002-03-13,148.56,PLN
2002-03-14,148.61,PLN
2002-03-15,148.64,PLN
2002-03-18,148.76,PLN
2002-03-19,148.79,PLN
2002-03-20,148.82,PLN
2002-03-21,148.88,PLN
2002-03-22,148.91,PLN
2002-03-25,149.02,PLN
2002-03-26,149.06,PLN
2002-03-27,149.10,PLN
2002-03-28,149.15,PLN
2002-04-02,149.33,PLN
2002-04-03,149.37,PLN
2002-04-04,149.40,PLN
2002-04-05,149.43,PLN
2002-04-08,149.54,PLN
2002-04-09,149.57,PLN
2002-04-10,149.62,PLN
2002-04-11,149.66,PLN
2002-04-12,149.70,PLN
2002-04-15,149.82,PLN
2002-04-16,149.86,PLN
2002-04-17,149.89,PLN
2002-04-18,149.94,PLN
2002-04-19,149.99,PLN
2002-04-22,150.10,PLN
2002-04-23,150.14,PLN
2002-04-24,150.17,PLN
2002-04-25,150.20,PLN
2002-04-26,150.25,PLN
2002-04-29,150.36,PLN
2002-04-30,150.40,PLN
2002-05-02,150.48,PLN
2002-05-06,150.62,PLN
2002-05-07,150.65,PLN
2002-05-08,150.69,PLN
2002-05-09,150.73,PLN
2002-05-10,150.77,PLN
2002-05-13,150.87,PLN
2002-05-14,150.91,PLN
2002-05-15,150.94,PLN
2002-05-16,150.98,PLN
2002-05-17,151.02,PLN
2002-05-20,151.13,PLN
2002-05-21,151.17,PLN
2002-05-22,151.21,PLN
2002-05-23,151.25,PLN
2002-05-24,151.29,PLN
2002-05-27,151.38,PLN
2002-05-28,151.43,PLN
2002-05-29,151.47,PLN
2002-05-31,151.55,PLN
2002-06-03,151.66,PLN
2002-06-04,151.70,PLN
2002-06-05,151.74,PLN
2002-06-06,151.77,PLN
2002-06-07,151.80,PLN
2002-06-10,151.93,PLN
2002-06-11,151.97,PLN
2002-06-12,152.01,PLN
2002-06-13,152.04,PLN
2002-06-14,152.07,PLN
2002-06-17,152.19,PLN
2002-06-18,152.22,PLN
2002-06-19,152.27,PLN
2002-06-20,152.30,PLN
2002-06-21,152.34,PLN
2002-06-24,152.44,PLN
2002-06-25,152.47,PLN
2002-06-26,152.52,PLN
2002-06-27,152.55,PLN
2002-06-28,152.60,PLN
2002-07-01,152.70,PLN
2002-07-02,152.74,PLN
2002-07-03,152.77,PLN
2002-07-04,152.80,PLN
2002-07-05,152.84,PLN
2002-07-08,152.94,PLN
2002-07-09,152.98,PLN
2002-07-10,153.00,PLN
2002-07-11,153.05,PLN
2002-07-12,153.08,PLN
2002-07-15,153.18,PLN
2002-07-16,153.22,PLN
2002-07-17,153.25,PLN
2002-07-18,153.29,PLN
2002-07-19,153.32,PLN
2002-07-22,153.41,PLN
2002-07-23,153.44,PLN
2002-07-24,153.48,PLN
2002-07-25,153.52,PLN
2002-07-26,153.55,PLN
2002-07-29,153.66,PLN
2002-07-30,153.69,PLN
2002-07-31,153.73,PLN
2002-08-01,153.76,PLN
2002-08-02,153.80,PLN
2002-08-05,153.90,PLN
2002-08-06,153.94,PLN
2002-08-07,153.98,PLN
2002-08-08,154.01,PLN
2002-08-09,154.05,PLN
2002-08-12,154.14,PLN
2002-08-13,154.18,PLN
2002-08-14,154.20,PLN
2002-08-16,154.29,PLN
2002-08-19,154.42,PLN
2002-08-20,154.40,PLN
2002-08-21,154.44,PLN
2002-08-22,154.46,PLN
2002-08-23,154.51,PLN
2002-08-26,154.60,PLN
2002-08-27,154.66,PLN
2002-08-28,154.66,PLN
2002-08-29,154.73,PLN
2002-08-30,154.76,PLN
2002-09-02,154.86,PLN
2002-09-03,154.90,PLN
2002-09-04,154.93,PLN
2002-09-05,154.97,PLN
2002-09-06,155.01,PLN
2002-09-09,155.11,PLN
2002-09-10,155.15,PLN
2002-09-11,155.19,PLN
2002-09-12,155.25,PLN
2002-09-13,155.28,PLN
2002-09-16,155.38,PLN
2002-09-17,155.41,PLN
2002-09-18,155.57,PLN
2002-09-19,155.60,PLN
2002-09-20,155.64,PLN
2002-09-23,155.73,PLN
2002-09-24,155.76,PLN
2002-09-25,155.83,PLN
2002-09-26,155.86,PLN
2002-09-27,155.90,PLN
2002-09-30,156.00,PLN
2002-10-01,156.27,PLN
2002-10-02,156.31,PLN
2002-10-03,156.35,PLN
2002-10-04,156.38,PLN
2002-10-07,156.46,PLN
2002-10-08,156.50,PLN
2002-10-09,156.53,PLN
2002-10-10,156.56,PLN
2002-10-11,156.59,PLN
2002-10-14,156.68,PLN
2002-10-15,156.71,PLN
2002-10-16,156.74,PLN
2002-10-17,156.77,PLN
2002-10-18,156.80,PLN
2002-10-21,156.88,PLN
2002-10-22,156.87,PLN
2002-10-23,156.94,PLN
2002-10-24,156.98,PLN
2002-10-25,157.02,PLN
2002-10-28,157.11,PLN
2002-10-29,157.16,PLN
2002-10-30,157.19,PLN
2002-10-31,157.22,PLN
2002-11-04,157.55,PLN
2002-11-05,157.59,PLN
2002-11-06,157.62,PLN
2002-11-07,157.65,PLN
2002-11-08,157.70,PLN
2002-11-12,157.81,PLN
